Web_page,Time_Stamp
"http://www.brilliantpalaexams.com/","2020-04-03 08:46:42"
"https://www.brilliantpalaexams.com/","2020-04-03 08:46:42"
"https://brilliantpala.in/student","2020-04-03 08:45:49"
"https://brilliantpala.in/student/","2020-04-03 08:45:49"
"https://brilliantpala.in/main/","2020-04-03 08:43:52"
"https://brilliantpala.in/home","2020-04-03 08:43:52"
"https://brilliantpala.in/home/","2020-04-03 08:43:52"
"https://brilliantpala.org/student-portal/","2020-04-03 08:43:46"
"https://brilliantpala.org/","2020-04-03 08:43:31"
"https://lavasoft.gosearchresults.com/?sbtn=&q=pala+brilliant&tt=VM__GS__S4LAVA__vmn__webcompa__1_0__go__lvs__webcompa__1_0__go__ch_WCYID10438_200403__yrff__yrff&pid=5ac784309091147a162b4431&sr=0","2020-04-03 08:43:20"
"http://securedsearch.lavasoft.com/results.php?q=www.brilliantpala.org&pr=vmn&id=webcompa&v=1_0&ent=lvs__webcompa__1_0__ya__ch_WCYID10438_200403__yrff&gen=&vm=&searchfeed=web&hsimp=yhs-lavasoft2&idate=&gen=","2020-04-03 08:42:26"
"https://lavasoft.gosearchresults.com/?q=www.brilliantpala.org&tt=vmn__webcompa__1_0__go__lvs__webcompa__1_0__go__ch_WCYID10438_200403__yrff__yrff&pid=5ac784309091147a162b4431","2020-04-03 08:42:26"
"https://securesearch.org/homepage?hp=2&pId=BT170902&iDate=2020-03-22%2010.27.52&bName=","2020-04-03 08:41:47"
"http://securedsearch.lavasoft.com/?pr=vmn&id=webcompa&ent=lvs__webcompa__1_0__ya__ch_WCYID10438_200403__yrff","2020-04-03 08:41:47"
"https://brilliantpalaonline.com/","2020-04-03 08:40:06"
"http://securedsearch.lavasoft.com/results.php?q=brilliantpala.org&pr=vmn&id=webcompa&v=1_0&ent=lvs__webcompa__1_0__ya__ch_WCYID10438_200403__yrff&gen=&vm=&searchfeed=web&hsimp=yhs-lavasoft2&idate=&gen=","2020-04-03 08:33:16"
"https://lavasoft.gosearchresults.com/?q=brilliantpala.org&tt=vmn__webcompa__1_0__go__lvs__webcompa__1_0__go__ch_WCYID10438_200403__yrff__yrff&pid=5ac784309091147a162b4431","2020-04-03 08:33:16"
"http://securedsearch.lavasoft.com/?pr=vmn&id=webcompa&ent=lvs__webcompa__1_0__ya__ch_WCYID10438_200403__yrff#","2020-04-03 08:33:08"
"http://securedsearch.lavasoft.com/results.php?q=www.brilliantpala.in&pr=vmn&id=webcompa&v=1_0&ent=lvs__webcompa__1_0__ya__ch_WCYID10438_200403__yrff&gen=&vm=&searchfeed=web&hsimp=yhs-lavasoft2&idate=&gen=","2020-04-03 08:31:47"
"https://lavasoft.gosearchresults.com/?q=www.brilliantpala.in&tt=vmn__webcompa__1_0__go__lvs__webcompa__1_0__go__ch_WCYID10438_200403__yrff__yrff&pid=5ac784309091147a162b4431","2020-04-03 08:31:47"
"https://securesearch.org/homepage?hp=2&pId=BT170902&iDate=2020-03-22%2010.27.52&bName=","2020-04-03 08:30:45"
"http://securedsearch.lavasoft.com/?pr=vmn&id=webcompa&ent=lvs__webcompa__1_0__ya__ch_WCYID10438_200403__yrff","2020-04-03 08:30:45"
"https://www.flipkart.com/wishlist?link=home_wishlist","2020-03-29 19:26:36"
"https://www.flipkart.com/","2020-03-29 19:26:23"
"https://securesearch.org/homepage?hp=2&pId=BT170902&iDate=2020-03-22%2010.27.52&bName=","2020-03-29 19:26:15"
"http://securedsearch.lavasoft.com/?pr=vmn&id=webcompa&ent=lvs__webcompa__1_0__ya__ch_WCYID10438_200329__yrff","2020-03-29 19:26:15"
"https://mozgvya.com/path/lp.php?trvid=10088&trvx=0ac10bad&externalid=1177266682779753514&subid=787432","2020-03-29 19:22:00"
"https://www.toomiplay.com/toomi/win/lp1/index.html?chnl=10088&subid=3lp7vwj51ywu","2020-03-29 19:22:00"
"https://pdfconvertme.com/PGSdCtcFVDpXPqOJFLnomSCM2M4JXUfeAfuirKGnRT4?cid=9129146389940121881&sid=787432","2020-03-29 19:21:51"
"https://uploadhaven.com/download/e6a5ee81290649f594e64676312c9247","2020-03-29 19:21:21"
"https://steamunlocked.net/prototype-free-download/","2020-03-29 19:21:15"
"https://www.flipkart.com/account/rewards?link=home_rewards","2020-03-29 19:20:58"
"https://www.flipkart.com/gaming-accesories/controllers/pr?sid=4rr,km5,r39&otracker=categorytree","2020-03-29 19:18:31"
"https://www.flipkart.com/gaming/gaming-accessories/pr?sid=4rr,km5&otracker=categorytree&otracker=nmenu_sub_Sports%2C%20Books%20%26%20More_0_Gaming%20Accessories&otracker=nmenu_sub_Sports%2C%20Books%20%26%20More_0_Gaming%20Accessories","2020-03-29 19:18:04"
"https://www.flipkart.com/exercise-fitness-essentials-store?otracker=nmenu_sub_Sports%2C%20Books%20%26%20More_0_Exercise%20Fitness","2020-03-29 19:17:22"
"https://www.flipkart.com/television-store?otracker=nmenu_sub_TVs%20and%20Appliances_0_Televisions&otracker=nmenu_sub_TVs%20%26%20Appliances_0_Television","2020-03-29 19:17:06"
"https://www.flipkart.com/","2020-03-29 19:16:37"
"https://www.flipkart.com/search?q=slippers&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off","2020-03-29 19:14:06"
"https://www.flipkart.com/","2020-03-29 19:13:29"
"https://www.flipkart.com/account/login?ret=/","2020-03-29 19:13:03"
"https://www.flipkart.com/","2020-03-29 19:12:56"
"https://www.cellphonecases.com/","2020-03-29 19:12:52"
"https://lavasoft.gosearchresults.com/?sbtn=&q=flipkart&tt=VM__GS__S4LAVA__vmn__webcompa__1_0__go__lvs__webcompa__1_0__go__ch_WCYID10438_200329__yrff__yrff&pid=5ac784309091147a162b4431&sr=0","2020-03-29 19:12:48"
"https://flipkart.en.softonic.com/download","2020-03-29 19:12:22"
"https://flipkart.en.softonic.com/","2020-03-29 19:11:47"
"http://www.updownload.com/flipkart-pc/","2020-03-29 19:11:34"
"http://securedsearch.lavasoft.com/results.php?q=flipkart+pc+download&pr=vmn&id=webcompa&v=1_0&ent=lvs__webcompa__1_0__ya__ch_WCYID10438_200329__yrff&gen=&vm=&searchfeed=web&hsimp=yhs-lavasoft2&idate=&gen=","2020-03-29 19:11:27"
"https://lavasoft.gosearchresults.com/?q=flipkart+pc+download&tt=vmn__webcompa__1_0__go__lvs__webcompa__1_0__go__ch_WCYID10438_200329__yrff__yrff&pid=5ac784309091147a162b4431","2020-03-29 19:11:27"
"https://securesearch.org/homepage?hp=2&pId=BT170902&iDate=2020-03-22%2010.27.52&bName=","2020-03-29 19:11:16"
"http://securedsearch.lavasoft.com/?pr=vmn&id=webcompa&ent=lvs__webcompa__1_0__ya__ch_WCYID10438_200329__yrff","2020-03-29 19:11:16"
